,1,2,3,4,5,6,7,8
white,0,0.014492754,0,0,0,0,0,0
why,0,0.004830918,0,0.007863696,0,0,0,0
will,0,0.002415459,0,0.001310616,0.019230769,0,0,0.033333333
with,0,0.004010024,0.007155819,0.008159322,0.00798149,0.003672898,0,0.006917292
work,0,0.001637855,0.02338179,0.000888692,0.039119533,0,0,0.011301198
worked,0,0.004830918,0,0.002621232,0,0,0,0
working,0,0.004830918,0,0.005242464,0,0,0,0
writing,0,0.007246377,0,0,0,0,0,0
wrote,0,0.007246377,0,0,0,0,0,0
years,0,0.00327571,0.011690895,0.002666076,0,0.006000636,0,0.011301198
building,0,0,0.034482759,0.002621232,0,0,0,0
cant,0,0,0.051724138,0,0,0,0,0
class,0,0,0.051724138,0,0,0,0,0
dedicated,0,0,0.051724138,0,0,0,0,0
fellows,0,0,0.034482759,0,0.038461538,0,0,0
first,0,0,0.034482759,0.005242464,0,0,0,0
foundation,0,0,0.051724138,0,0,0,0,0
gathered,0,0,0.051724138,0,0,0,0,0
get,0,0,0.034482759,0,0,0,0,0.033333333
grow,0,0,0.051724138,0,0,0,0,0
impact,0,0,0.051724138,0,0,0,0,0
inspiring,0,0,0.051724138,0,0,0,0,0
know,0,0,0.034482759,0.002621232,0,0,0,0
leaders,0,0,0.051724138,0,0,0,0,0
learned,0,0,0.051724138,0,0,0,0,0
mali,0,0,0.051724138,0,0,0,0,0
minnesota,0,0,0.051724138,0,0,0,0,0
next,0,0,0.034482759,0.002621232,0,0,0,0
obama,0,0,0.051724138,0,0,0,0,0
other,0,0,0.034482759,0,0,0.017699115,0,0
theyve,0,0,0.051724138,0,0,0,0,0
two,0,0,0.051724138,0,0,0,0,0
wait,0,0,0.051724138,0,0,0,0,0
able,0,0,0,0.003931848,0,0,0,0
access,0,0,0,0.003931848,0,0,0,0
accomplish,0,0,0,0.003931848,0,0,0,0
accomplishes,0,0,0,0.003931848,0,0,0,0
achieved,0,0,0,0.007863696,0,0,0,0
action,0,0,0,0.003931848,0,0,0,0
administration,0,0,0,0.011795544,0,0,0,0
advanced,0,0,0,0.003931848,0,0,0,0
agency,0,0,0,0.007863696,0,0,0,0
agreement,0,0,0,0.007863696,0,0,0,0
agreements,0,0,0,0.003931848,0,0,0,0
allies,0,0,0,0.01965924,0,0,0,0
already,0,0,0,0.002621232,0,0.017699115,0,0
also,0,0,0,0.003931848,0,0,0,0
americas,0,0,0,0.015727392,0,0,0,0
announcement,0,0,0,0.003931848,0,0,0,0
any,0,0,0,0.007863696,0,0,0,0
approaching,0,0,0,0.003931848,0,0,0,0
around,0,0,0,0.002621232,0.038461538,0,0,0
aspect,0,0,0,0.003931848,0,0,0,0
atomic,0,0,0,0.003931848,0,0,0,0
back,0,0,0,0.011795544,0,0,0,0
behavior,0,0,0,0.011795544,0,0,0,0
believe,0,0,0,0.002621232,0,0.017699115,0,0
bomb,0,0,0,0.007863696,0,0,0,0
breakout,0,0,0,0.003931848,0,0,0,0
build,0,0,0,0.003931848,0,0,0,0
capacity,0,0,0,0.003931848,0,0,0,0
catch,0,0,0,0.003931848,0,0,0,0
centrifuges,0,0,0,0.003931848,0,0,0,0
chain,0,0,0,0.003931848,0,0,0,0
changes,0,0,0,0.003931848,0,0,0,0
cheat,0,0,0,0.003931848,0,0,0,0
china,0,0,0,0.003931848,0,0,0,0
choice,0,0,0,0.007863696,0,0,0,0
clear,0,0,0,0.003931848,0,0,0,0
cleareyed,0,0,0,0.003931848,0,0,0,0
closest,0,0,0,0.007863696,0,0,0,0
coalition,0,0,0,0.003931848,0,0,0,0
codified,0,0,0,0.003931848,0,0,0,0
compliance,0,0,0,0.003931848,0,0,0,0
complying,0,0,0,0.003931848,0,0,0,0
confront,0,0,0,0.003931848,0,0,0,0
congress,0,0,0,0.007863696,0,0,0,0
consistent,0,0,0,0.003931848,0,0,0,0
constraints,0,0,0,0.003931848,0,0,0,0
continue,0,0,0,0.002621232,0.038461538,0,0,0
continued,0,0,0,0.003931848,0,0,0,0
control,0,0,0,0.007863696,0,0,0,0
core,0,0,0,0.003931848,0,0,0,0
could,0,0,0,0.023591088,0,0,0,0
council,0,0,0,0.003931848,0,0,0,0
countrys,0,0,0,0.003931848,0,0,0,0
credibility,0,0,0,0.003931848,0,0,0,0
crippling,0,0,0,0.003931848,0,0,0,0
current,0,0,0,0.003931848,0,0,0,0
dangers,0,0,0,0.007863696,0,0,0,0
deal,0,0,0,0.023591088,0,0,0,0
debates,0,0,0,0.007863696,0,0,0,0
decades,0,0,0,0.003931848,0,0,0,0
decision,0,0,0,0.003931848,0,0,0,0
defense,0,0,0,0.003931848,0,0,0,0
destabilizing,0,0,0,0.007863696,0,0,0,0
destroyed,0,0,0,0.003931848,0,0,0,0
destruction,0,0,0,0.003931848,0,0,0,0
destructive,0,0,0,0.003931848,0,0,0,0
diplomacy,0,0,0,0.011795544,0,0,0,0
diplomats,0,0,0,0.007863696,0,0,0,0
divisive,0,0,0,0.003931848,0,0,0,0
does,0,0,0,0.007863696,0,0,0,0
east,0,0,0,0.007863696,0,0,0,0
eliminated,0,0,0,0.003931848,0,0,0,0
embolden,0,0,0,0.003931848,0,0,0,0
endorsed,0,0,0,0.003931848,0,0,0,0
energy,0,0,0,0.003931848,0,0,0,0
engages,0,0,0,0.003931848,0,0,0,0
enriched,0,0,0,0.003931848,0,0,0,0
entire,0,0,0,0.003931848,0,0,0,0
eroding,0,0,0,0.003931848,0,0,0,0
especially,0,0,0,0.002621232,0,0.017699115,0,0
european,0,0,0,0.007863696,0,0,0,0
ever,0,0,0,0.007863696,0,0,0,0
every,0,0,0,0.003931848,0,0,0,0
experts,0,0,0,0.003931848,0,0,0,0
expire,0,0,0,0.003931848,0,0,0,0
faced,0,0,0,0.003931848,0,0,0,0
facilities,0,0,0,0.003931848,0,0,0,0
factbased,0,0,0,0.003931848,0,0,0,0
far,0,0,0,0.002621232,0,0,0,0.033333333
farreaching,0,0,0,0.003931848,0,0,0,0
